datetime,Solar_Power(MWh),code
2017-01,11605.42,KSN
2017-02,13670.82,KSN
2017-03,16065.68,KSN
2017-04,17565.8,KSN
2017-05,19500.76,KSN
2017-06,18428.4,KSN
2017-07,14660.26,KSN
2017-08,16186.01,KSN
2017-09,15452.17,KSN
2017-10,13417.71,KSN
2017-11,14669.54,KSN
2017-12,14201.48,KSN
2018-01,15446.67,KSN
2018-02,16496.83,KSN
2018-03,20086.6,KSN
2018-04,21400.29,KSN
2018-05,20817.57,KSN
2018-06,20992.18,KSN
2018-07,23028.97,KSN
2018-08,20711.3,KSN
2018-09,16361.83,KSN
2018-10,21083.33,KSN
2018-11,16445.5,KSN
2018-12,15937.53,KSN
2019-01,20202.94,KSN
2019-02,20229.54,KSN
2019-03,26675.16,KSN
2019-04,23828.29,KSN
2019-05,31441.71,KSN
2019-06,26742.97,KSN
2019-07,22536.25,KSN
2019-08,25265.43,KSN
2019-09,19420.25,KSN
2019-10,23772.56,KSN
2019-11,20324.86,KSN
2019-12,18939.24,KSN
2020-01,17664.45,KSN
2020-02,24087.48,KSN
2020-03,30890.93,KSN
2020-04,34416.63,KSN
2020-05,32087.02,KSN
2020-06,30992.38,KSN
2020-07,19666.53,KSN
2020-08,27349.36,KSN
2020-09,24836.65,KSN
2020-10,31437.66,KSN
2020-11,24685.35,KSN
2020-12,24123.99,KSN
2021-01,25074.32,KSN
2021-02,28270.97,KSN
2021-03,34368.1,KSN
2021-04,39005.01,KSN
2021-05,37229.62,KSN
2021-06,35045.44,KSN
2021-07,34919.68,KSN
2021-08,30289.27,KSN
2021-09,24501.76,KSN
2021-10,33920.25,KSN
2021-11,29062.8,KSN
2021-12,33243.94,KSN
2022-01,37354.82,KSN
2022-02,43435.49,KSN
2022-03,45252.88,KSN
2022-04,53954.4,KSN
2022-05,62670.62,KSN
2022-06,45907.21,KSN
2022-07,46007.3,KSN
2022-08,40746.6,KSN
2022-09,42245.08,KSN
2022-10,51232.63,KSN
2022-11,39649.77,KSN
2022-12,39017.09,KSN
2023-01,44620.98,KSN
2023-02,45447.4,KSN
2023-03,5.75,KSN
2017-01,18266.35,KSB
2017-02,22631.27,KSB
2017-03,25549.24,KSB
2017-04,28396.56,KSB
2017-05,33896.39,KSB
2017-06,33262.41,KSB
2017-07,23436.6,KSB
2017-08,26364.67,KSB
2017-09,28702.21,KSB
2017-10,22425.56,KSB
2017-11,23583.78,KSB
2017-12,22519.08,KSB
2018-01,24629.34,KSB
2018-02,28553.54,KSB
2018-03,33017.02,KSB
2018-04,35987.87,KSB
2018-05,35758.29,KSB
2018-06,35841.5,KSB
2018-07,38605.1,KSB
2018-08,35300.34,KSB
2018-09,30286.93,KSB
2018-10,35910.73,KSB
2018-11,26856.45,KSB
2018-12,27139.92,KSB
2019-01,34353.42,KSB
2019-02,35831.08,KSB
2019-03,45234.0,KSB
2019-04,44355.09,KSB
2019-05,57261.81,KSB
2019-06,49204.65,KSB
2019-07,40362.23,KSB
2019-08,45432.34,KSB
2019-09,34371.58,KSB
2019-10,39292.78,KSB
2019-11,33228.32,KSB
2019-12,32546.7,KSB
2020-01,30407.0,KSB
2020-02,42035.09,KSB
2020-03,57843.83,KSB
2020-04,64281.54,KSB
2020-05,60901.49,KSB
2020-06,58330.12,KSB
2020-07,39420.93,KSB
2020-08,47517.92,KSB
2020-09,43826.19,KSB
2020-10,53502.09,KSB
2020-11,40673.16,KSB
2020-12,41823.03,KSB
2021-01,41946.92,KSB
2021-02,51026.93,KSB
2021-03,57506.74,KSB
2021-04,68785.32,KSB
2021-05,64223.64,KSB
2021-06,64583.97,KSB
2021-07,69305.72,KSB
2021-08,51275.59,KSB
2021-09,49762.93,KSB
2021-10,56899.18,KSB
2021-11,49236.22,KSB
2021-12,51377.74,KSB
2022-01,59704.42,KSB
2022-02,70004.11,KSB
2022-03,68410.58,KSB
2022-04,88046.39,KSB
2022-05,102718.72,KSB
2022-06,77212.67,KSB
2022-07,70793.28,KSB
2022-08,60072.53,KSB
2022-09,67071.5,KSB
2022-10,71878.76,KSB
2022-11,59645.43,KSB
2022-12,51895.62,KSB
2023-01,64600.12,KSB
2023-02,66591.45,KSB
2023-03,16.15,KSB
2017-01,2347.51,KWJ
2017-02,2858.62,KWJ
